entidad,tipo_de_inversion,anio,trimestre,fecha,millones_de_dolares,fn_millones_de_dolares
Aguascalientes,Nuevas inversiones,2020,2,2020-06-01,4.6251255500000008,4.625125550000001
Aguascalientes,Reinversión de utilidades,2020,2,2020-06-01,14.614411199999999,14.6144112
Aguascalientes,Cuentas entre compañías,2020,2,2020-06-01,-21.243342630000019,-21.243342630000015
Aguascalientes,Nuevas inversiones,2020,3,2020-09-01,-0.45101523999999971,-0.4510152399999997
Aguascalientes,Reinversión de utilidades,2020,3,2020-09-01,36.528363580000004,36.52836358
Aguascalientes,Cuentas entre compañías,2020,3,2020-09-01,83.538356739999927,83.53835673999993
Aguascalientes,Nuevas inversiones,2020,4,2020-12-01,1.9538281299999996,1.95382813
Aguascalientes,Reinversión de utilidades,2020,4,2020-12-01,10.43653095,10.43653095
Aguascalientes,Cuentas entre compañías,2020,4,2020-12-01,367.75888262000007,367.75888262000007
Aguascalientes,Nuevas inversiones,2021,1,2021-03-01,63.206788469999999,63.20678847
Aguascalientes,Reinversión de utilidades,2021,1,2021-03-01,97.975996320507065,97.97599632050705
Aguascalientes,Cuentas entre compañías,2021,1,2021-03-01,-19.764809389999979,-19.764809389999975
Aguascalientes,Nuevas inversiones,2021,2,2021-06-01,3.6926382000000002,3.6926382
Aguascalientes,Reinversión de utilidades,2021,2,2021-06-01,11.756585600000001,11.7565856
Aguascalientes,Cuentas entre compañías,2021,2,2021-06-01,53.961312709999973,53.961312709999966
Aguascalientes,Nuevas inversiones,2021,3,2021-09-01,0.23800150999999969,0.2380015099999996
Aguascalientes,Reinversión de utilidades,2021,3,2021-09-01,11.222269900000002,11.222269900000002
Aguascalientes,Cuentas entre compañías,2021,3,2021-09-01,-62.659853320000046,-62.659853320000046
Aguascalientes,Nuevas inversiones,2021,4,2021-12-01,5.6543480754454825,5.6543480754454825
Aguascalientes,Reinversión de utilidades,2021,4,2021-12-01,-176.18672146000006,-176.18672146000006
Aguascalientes,Cuentas entre compañías,2021,4,2021-12-01,53.074880140000047,53.07488014000005
Aguascalientes,Nuevas inversiones,2022,1,2022-03-01,25.05750209,25.05750209
Aguascalientes,Reinversión de utilidades,2022,1,2022-03-01,135.75194814512491,135.7519481451249
Aguascalientes,Cuentas entre compañías,2022,1,2022-03-01,148.33517065999996,148.33517065999996
Aguascalientes,Nuevas inversiones,2022,2,2022-06-01,0.51252727077613847,0.5125272707761384
Aguascalientes,Reinversión de utilidades,2022,2,2022-06-01,85.262341659575583,85.26234165957558
Aguascalientes,Cuentas entre compañías,2022,2,2022-06-01,109.51797738000005,109.51797738000003
Aguascalientes,Nuevas inversiones,2022,3,2022-09-01,C,
Aguascalientes,Reinversión de utilidades,2022,3,2022-09-01,50.970274867510071,50.97027486751007
Aguascalientes,Cuentas entre compañías,2022,3,2022-09-01,-13.173960270000006,-13.173960270000006
Aguascalientes,Nuevas inversiones,2022,4,2022-12-01,-5.1127258720479958,-5.112725872047996
Aguascalientes,Reinversión de utilidades,2022,4,2022-12-01,52.150470880878274,52.150470880878274
Aguascalientes,Cuentas entre compañías,2022,4,2022-12-01,-15.374046570258079,-15.37404657025808
Aguascalientes,Nuevas inversiones,2023,1,2023-03-01,0.54965063163749595,0.549650631637496
Aguascalientes,Reinversión de utilidades,2023,1,2023-03-01,391.77918635108563,391.7791863510856
Aguascalientes,Cuentas entre compañías,2023,1,2023-03-01,-221.66552294132364,-221.66552294132364
Aguascalientes,Nuevas inversiones,2023,2,2023-06-01,C,
Aguascalientes,Reinversión de utilidades,2023,2,2023-06-01,-38.576839303084135,-38.576839303084135
Aguascalientes,Cuentas entre compañías,2023,2,2023-06-01,1075.55350327312,1075.55350327312
Aguascalientes,Nuevas inversiones,2023,3,2023-09-01,C,
Aguascalientes,Reinversión de utilidades,2023,3,2023-09-01,149.62803429294914,149.62803429294914
Aguascalientes,Cuentas entre compañías,2023,3,2023-09-01,235.1628466971566,235.1628466971566
Aguascalientes,Nuevas inversiones,2023,4,2023-12-01,38.316445822406394,38.3164458224064
Aguascalientes,Reinversión de utilidades,2023,4,2023-12-01,-139.86712218243898,-139.86712218243898
Aguascalientes,Cuentas entre compañías,2023,4,2023-12-01,-111.71774826285886,-111.71774826285886
Aguascalientes,Nuevas inversiones,2024,1,2024-03-01,0,0.0
Aguascalientes,Reinversión de utilidades,2024,1,2024-03-01,323.25186319794943,323.25186319794943
Aguascalientes,Cuentas entre compañías,2024,1,2024-03-01,-295.02169198865414,-295.02169198865414
Aguascalientes,Nuevas inversiones,2024,2,2024-06-01,C,
Aguascalientes,Reinversión de utilidades,2024,2,2024-06-01,93.66333312589461,93.6633331258946
Aguascalientes,Cuentas entre compañías,2024,2,2024-06-01,290.28574418086885,290.28574418086885
Baja California,Nuevas inversiones,2006,1,2006-03-01,65.848228482995509,65.84822848299551
Baja California,Reinversión de utilidades,2006,1,2006-03-01,56.816617999999998,56.816618
Baja California,Cuentas entre compañías,2006,1,2006-03-01,182.38181100000006,182.38181100000008
Baja California,Nuevas inversiones,2006,2,2006-06-01,49.713060830000003,49.71306083
Baja California,Reinversión de utilidades,2006,2,2006-06-01,37.088459,37.088459
Baja California,Cuentas entre compañías,2006,2,2006-06-01,227.61907299999984,227.61907299999984
Baja California,Nuevas inversiones,2006,3,2006-09-01,47.077647739999982,47.07764773999998
Baja California,Reinversión de utilidades,2006,3,2006-09-01,3.8194640000000009,3.819464000000001
Baja California,Cuentas entre compañías,2006,3,2006-09-01,277.17041699999987,277.1704169999999
Baja California,Nuevas inversiones,2006,4,2006-12-01,119.23083872999997,119.23083872999996
Baja California,Reinversión de utilidades,2006,4,2006-12-01,8.6664200000000005,8.66642
Baja California,Cuentas entre compañías,2006,4,2006-12-01,265.25957199999976,265.25957199999976
Baja California,Nuevas inversiones,2007,1,2007-03-01,171.40419596999993,171.40419596999993
Baja California,Reinversión de utilidades,2007,1,2007-03-01,94.402171000000024,94.40217100000001
Baja California,Cuentas entre compañías,2007,1,2007-03-01,222.61333799999994,222.61333799999997
Baja California,Nuevas inversiones,2007,2,2007-06-01,59.790515920000061,59.79051592000006
Baja California,Reinversión de utilidades,2007,2,2007-06-01,40.078111000000007,40.07811100000001
Baja California,Cuentas entre compañías,2007,2,2007-06-01,161.15083100000001,161.150831
Baja California,Nuevas inversiones,2007,3,2007-09-01,269.93623014000008,269.9362301400001
Baja California,Reinversión de utilidades,2007,3,2007-09-01,6.4567549999999994,6.456755
Baja California,Cuentas entre compañías,2007,3,2007-09-01,590.92035599999986,590.920356
Baja California,Nuevas inversiones,2007,4,2007-12-01,142.57350816000005,142.57350816000005
Baja California,Reinversión de utilidades,2007,4,2007-12-01,9.4343339999999998,9.434334
Baja California,Cuentas entre compañías,2007,4,2007-12-01,22.068880000000004,22.068880000000004
Baja California,Nuevas inversiones,2008,1,2008-03-01,159.22972863999988,159.22972863999988
Baja California,Reinversión de utilidades,2008,1,2008-03-01,78.576811000000006,78.576811
Baja California,Cuentas entre compañías,2008,1,2008-03-01,86.495183000000111,86.49518300000011
Baja California,Nuevas inversiones,2008,2,2008-06-01,118.72936515608447,118.72936515608448
Baja California,Reinversión de utilidades,2008,2,2008-06-01,64.625665999999981,64.62566599999998
Baja California,Cuentas entre compañías,2008,2,2008-06-01,383.27700399999986,383.2770039999999
Baja California,Nuevas inversiones,2008,3,2008-09-01,124.84911031999999,124.84911032
Baja California,Reinversión de utilidades,2008,3,2008-09-01,13.355107000000002,13.355107000000002
Baja California,Cuentas entre compañías,2008,3,2008-09-01,177.82981299999992,177.82981299999992
Baja California,Nuevas inversiones,2008,4,2008-12-01,421.35808669999989,421.35808669999994
Baja California,Reinversión de utilidades,2008,4,2008-12-01,16.072906,16.072906
Baja California,Cuentas entre compañías,2008,4,2008-12-01,-190.25810800000016,-190.25810800000016
Baja California,Nuevas inversiones,2009,1,2009-03-01,153.36470067999988,153.36470067999988
Baja California,Reinversión de utilidades,2009,1,2009-03-01,15.467604999999999,15.467605
Baja California,Cuentas entre compañías,2009,1,2009-03-01,156.9930440000002,156.9930440000002
Baja California,Nuevas inversiones,2009,2,2009-06-01,79.723236580000048,79.72323658000003
Baja California,Reinversión de utilidades,2009,2,2009-06-01,53.138591999999996,53.138592
Baja California,Cuentas entre compañías,2009,2,2009-06-01,32.222289000000018,32.22228900000002
Baja California,Nuevas inversiones,2009,3,2009-09-01,49.654411000000032,49.65441100000003
Baja California,Reinversión de utilidades,2009,3,2009-09-01,19.702424999999998,19.702425
Baja California,Cuentas entre compañías,2009,3,2009-09-01,104.67752700000001,104.677527
Baja California,Nuevas inversiones,2009,4,2009-12-01,270.20833629000009,270.2083362900001
Baja California,Reinversión de utilidades,2009,4,2009-12-01,10.123692999999998,10.123692999999998
Baja California,Cuentas entre compañías,2009,4,2009-12-01,-115.75267000000015,-115.75267000000017
Baja California,Nuevas inversiones,2010,1,2010-03-01,78.323693680000005,78.32369368
Baja California,Reinversión de utilidades,2010,1,2010-03-01,29.603639999999999,29.60364
Baja California,Cuentas entre compañías,2010,1,2010-03-01,250.14929399999994,250.14929399999997
Baja California,Nuevas inversiones,2010,2,2010-06-01,355.71887699999979,355.71887699999974
Baja California,Reinversión de utilidades,2010,2,2010-06-01,60.341410999999994,60.341411
Baja California,Cuentas entre compañías,2010,2,2010-06-01,101.55214299999996,101.55214299999996
Baja California,Nuevas inversiones,2010,3,2010-09-01,101.13520287999998,101.13520287999998
Baja California,Reinversión de utilidades,2010,3,2010-09-01,12.843688,12.843688
Baja California,Cuentas entre compañías,2010,3,2010-09-01,136.47703100000004,136.47703100000004
Baja California,Nuevas inversiones,2010,4,2010-12-01,-4.6443638599999977,-4.644363859999998
Baja California,Reinversión de utilidades,2010,4,2010-12-01,116.54546400000001,116.545464
Baja California,Cuentas entre compañías,2010,4,2010-12-01,176.77686900000012,176.77686900000012
Baja California,Nuevas inversiones,2011,1,2011-03-01,66.434681130000016,66.43468113000002
Baja California,Reinversión de utilidades,2011,1,2011-03-01,19.789643619999996,19.78964362
Baja California,Cuentas entre compañías,2011,1,2011-03-01,-25.319839000000012,-25.31983900000001
Baja California,Nuevas inversiones,2011,2,2011-06-01,-12.200981849999994,-12.200981849999994
Baja California,Reinversión de utilidades,2011,2,2011-06-01,111.82944819999997,111.82944819999996
Baja California,Cuentas entre compañías,2011,2,2011-06-01,132.04596400000003,132.04596400000003
Baja California,Nuevas inversiones,2011,3,2011-09-01,76.053450290000001,76.05345029
Baja California,Reinversión de utilidades,2011,3,2011-09-01,26.596831999999999,26.596832
Baja California,Cuentas entre compañías,2011,3,2011-09-01,192.43523499999986,192.43523499999984
Baja California,Nuevas inversiones,2011,4,2011-12-01,23.837157799999982,23.837157799999986
Baja California,Reinversión de utilidades,2011,4,2011-12-01,26.346612999999994,26.346612999999994
Baja California,Cuentas entre compañías,2011,4,2011-12-01,128.47412300000002,128.47412300000002
Baja California,Nuevas inversiones,2012,1,2012-03-01,5.1859400799999928,5.185940079999993
Baja California,Reinversión de utilidades,2012,1,2012-03-01,135.03743026000001,135.03743026
Baja California,Cuentas entre compañías,2012,1,2012-03-01,186.81711099999998,186.817111
Baja California,Nuevas inversiones,2012,2,2012-06-01,-76.985906328192954,-76.98590632819294
Baja California,Reinversión de utilidades,2012,2,2012-06-01,39.931014279999992,39.93101427999999
Baja California,Cuentas entre compañías,2012,2,2012-06-01,113.668384,113.668384
Baja California,Nuevas inversiones,2012,3,2012-09-01,152.93496408999999,152.93496409
Baja California,Reinversión de utilidades,2012,3,2012-09-01,20.712612999999997,20.712613
